step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
688,CASH_IN,340890.55,C1199633003,133053.0,473943.55,C2120331724,0.0,0.0,0
13,TRANSFER,425013.33,C1236644645,0.0,0.0,C1299038993,543817.2,968830.53,0
203,CASH_IN,226678.84,C1465693523,4189.0,230867.84,C230495819,304175.0,77496.16,0
259,TRANSFER,303654.25,C135810672,105084.17,0.0,C1129614880,505306.17,808960.42,0
153,CASH_OUT,499458.84,C243362465,798.0,0.0,C1652539689,0.0,499458.84,0
405,PAYMENT,7163.29,C1830061615,0.0,0.0,M1451830239,0.0,0.0,0
234,CASH_OUT,85069.65,C538525718,657.0,0.0,C839661598,372875.99,457945.64,0
41,CASH_IN,128094.67,C1491522516,5001.0,133095.67,C1078584667,4869213.53,4741118.86,0
136,CASH_OUT,128309.63,C715971546,107479.0,0.0,C278433869,1096286.46,1224596.09,0
14,CASH_OUT,356340.96,C1234301745,20043.0,0.0,C1963411267,2152027.61,2508368.57,0
599,PAYMENT,15267.38,C2018800907,877147.95,861880.56,M1018575724,0.0,0.0,0
213,PAYMENT,10977.24,C915638009,207322.0,196344.76,M719818662,0.0,0.0,0
255,CASH_OUT,30764.21,C808757970,42512.0,11747.79,C1149880657,1432288.31,1463052.53,0
250,CASH_OUT,296712.85,C375754585,0.0,0.0,C2123831968,905789.35,1202502.2,0
235,CASH_IN,65655.77,C955170279,12546564.71,12612220.49,C1033457628,468499.73,402843.95,0
684,PAYMENT,20062.13,C908588825,85747.0,65684.87,M796638087,0.0,0.0,0
353,CASH_IN,52320.45,C496186336,1604.0,53924.45,C1812245145,2773479.45,2721159.0,0
306,PAYMENT,7040.25,C1418578484,0.0,0.0,M2066067078,0.0,0.0,0
141,TRANSFER,325958.88,C2035222731,0.0,0.0,C1737305325,1698408.65,2024367.52,0
249,TRANSFER,376640.85,C1409675819,0.0,0.0,C1557866404,1128198.62,1504839.47,0
376,CASH_OUT,284459.27,C1518205296,0.0,0.0,C1403590024,380832.22,665291.49,0
237,TRANSFER,75323.97,C1365243897,31262.0,0.0,C1907884978,19829.92,95153.88,0
235,PAYMENT,13439.39,C1903393118,0.0,0.0,M1740694809,0.0,0.0,0
334,CASH_IN,334012.86,C423431071,10774455.38,11108468.24,C691867161,942690.8,608677.94,0
372,PAYMENT,11451.12,C1922546543,0.0,0.0,M2113774105,0.0,0.0,0
156,TRANSFER,253657.91,C1490911691,15808.0,0.0,C1135145478,3186024.25,3439682.15,0
284,CASH_IN,39557.33,C1094022622,3686.0,43243.33,C1176191813,6053143.64,6013586.31,0
207,PAYMENT,7320.15,C505960960,53293.65,45973.51,M1911434200,0.0,0.0,0
13,PAYMENT,9601.62,C1283263781,158610.04,149008.41,M88990203,0.0,0.0,0
284,CASH_IN,201923.18,C1659570438,5847887.18,6049810.36,C2029403184,5199938.82,4998015.63,0
401,PAYMENT,1307.41,C1264164171,0.0,0.0,M728432782,0.0,0.0,0
326,CASH_OUT,151609.48,C197151707,0.0,0.0,C1089220326,221623.83,373233.31,0
20,CASH_OUT,71821.62,C615847501,20229.0,0.0,C648409117,0.0,71821.62,0
235,CASH_OUT,163534.96,C405104114,0.0,0.0,C1558124617,438129.35,601664.31,0
211,CASH_OUT,267947.39,C202242245,0.0,0.0,C256274834,5187032.65,5454980.04,0
323,CASH_OUT,370154.38,C273671142,69597.0,0.0,C827667104,17926.68,388081.06,0
19,PAYMENT,30570.13,C1193966488,15988.0,0.0,M659356192,0.0,0.0,0
206,TRANSFER,142448.68,C1404532637,165817.07,23368.39,C1063689595,327877.06,470325.74,0
278,CASH_IN,345563.03,C1723476095,3960549.62,4306112.66,C165287029,1038433.89,692870.86,0
359,PAYMENT,5104.23,C1463137361,11491.0,6386.77,M1022847655,0.0,0.0,0
330,CASH_IN,145438.09,C1237812425,363.0,145801.09,C2066316861,4116516.3,3971078.21,0
396,CASH_OUT,259576.38,C714922877,50665.0,0.0,C1608060897,18278.6,277854.98,0
298,PAYMENT,4982.02,C434665792,0.0,0.0,M806395640,0.0,0.0,0
44,TRANSFER,734976.91,C1349812774,0.0,0.0,C1498293888,1315981.2,2050958.11,0
233,PAYMENT,14970.57,C279699629,0.0,0.0,M2008551402,0.0,0.0,0
43,CASH_OUT,92057.98,C1735895742,0.0,0.0,C386812850,806615.71,898673.69,0
686,PAYMENT,7498.63,C1077428504,13685.0,6186.37,M1891261647,0.0,0.0,0
306,CASH_OUT,125548.39,C4167072,24338.0,0.0,C1010908524,467743.64,593292.04,0
286,CASH_OUT,48776.44,C295585439,12046.0,0.0,C1964945608,942770.9,991547.34,0
180,CASH_OUT,179904.2,C2086688622,70766.0,0.0,C1624967178,0.0,109263.17,0
130,PAYMENT,34273.87,C1594311892,0.0,0.0,M1994298572,0.0,0.0,0
15,PAYMENT,3292.24,C459810529,105463.88,102171.64,M431487696,0.0,0.0,0
260,CASH_OUT,104454.28,C1614185217,24601.0,0.0,C387015791,1000603.05,1105057.33,0
371,CASH_OUT,41343.01,C425019887,0.0,0.0,C246385594,150637.73,191980.74,0
522,PAYMENT,21637.05,C917898251,532128.89,510491.84,M1484851584,0.0,0.0,0
14,CASH_IN,202413.14,C1327972177,2033740.37,2236153.51,C1424082571,7068661.86,6866248.72,0
163,CASH_OUT,16673.88,C537399173,22537.0,5863.12,C2060683533,1198525.85,1215199.74,0
249,PAYMENT,13300.69,C1253869210,39635.0,26334.31,M1061457781,0.0,0.0,0
397,PAYMENT,22218.7,C1178212833,0.0,0.0,M640495606,0.0,0.0,0
240,PAYMENT,11474.87,C2004595417,43847.49,32372.62,M2037141864,0.0,0.0,0
274,PAYMENT,8665.97,C1113152649,0.0,0.0,M1131135567,0.0,0.0,0
136,CASH_IN,105146.04,C1157479325,83640.0,188786.04,C1404213156,0.0,0.0,0
182,PAYMENT,12627.2,C662101269,10741.0,0.0,M1958672555,0.0,0.0,0
156,CASH_OUT,366829.05,C2089128549,0.0,0.0,C2021135885,3359801.63,3726630.68,0
276,CASH_OUT,383967.54,C1785223598,0.0,0.0,C2026530393,458696.33,842663.87,0
355,TRANSFER,1424439.51,C847580817,0.0,0.0,C269929607,5539345.49,6963785.0,0
332,CASH_OUT,60346.48,C1947268461,18250.0,0.0,C1040168990,0.0,60346.48,0
46,CASH_IN,240450.9,C319987853,2068522.38,2308973.28,C2088738244,441997.37,201546.47,0
202,PAYMENT,18204.25,C285598575,41936.27,23732.02,M1457032967,0.0,0.0,0
355,CASH_IN,19368.59,C453783276,13780.0,33148.59,C1746887246,871729.55,852360.97,0
227,CASH_IN,281147.5,C1597399735,51204.0,332351.5,C41939732,128675.54,0.0,0
156,CASH_OUT,231942.33,C1175994363,0.0,0.0,C1777397544,1900135.55,2132077.88,0
303,CASH_OUT,259309.44,C1182494761,0.0,0.0,C889111091,798845.39,1058154.83,0
161,TRANSFER,580936.23,C526264125,66949.94,0.0,C780313617,1293196.67,1874132.9,0
